ORF alpha.0 alpha.7 alpha.14 alpha.21 alpha.28 alpha.35 alpha.42 alpha.49 alpha.56 alpha.63 alpha.70 alpha.77 alpha.84 alpha.91 alpha.98 alpha.105 alpha.112 alpha.119 Elu.0 Elu.30 Elu.60 Elu.90 Elu.120 Elu.150 Elu.180 Elu.210 Elu.240 Elu.270 Elu.300 Elu.330 Elu.360 Elu.390 cdc15.10 cdc15.30 cdc15.50 cdc15.70 cdc15.90 cdc15.110 cdc15.130 cdc15.150 cdc15.170 cdc15.190 cdc15.210 cdc15.230 cdc15.250 cdc15.270 cdc15.290 spo.0 spo.2 spo.5 spo.7 spo.9 spo.11 spo5.2 spo5.7 spo5.11 spo..early spo..mid heat.0 heat.10 heat.20 heat.40 heat.80 heat.160 dtt.15 dtt.30 dtt.60 dtt.120 cold.0 cold.20 cold.40 cold.160 diau.a diau.b diau.c diau.d diau.e diau.f diau.g Label gene_class
YOR089C 0.11 -0.2 -0.01 -0.09 -0.27 0.34 0.06 -0.03 -0.1 -0.22 -0.15 -0.4 -0.27 -0.29 0.08 -0.23 0.16 0.01 1.21 -0.04 -0.32 -0.2 0.04 -0.34 -0.18 -0.03 -0.04 -0.4 -0.2 -0.06 0.07 -0.15 0.46 0.3 0.34 0.36 0.25 0.2 0.43 0.23 0.4 0.51 0.36 0.15 0.95 0.69 1.01 -0.32 -0.81 -0.76 0.85 0.94 0.9 0.25 1.4 1.61 -0.58 -0.04 -0.22 -0.15 -0.27 -0.38 -0.49 -0.58 0.1 0.28 -0.25 0.21 -0.06 -0.15 -0.79 -0.12 0.06 0.07 0.07 -0.34 0.25 1.73 0.72 nc 2
YOR092W -0.03 -0.06 0.21 -0.14 0.19 -0.14 0.38 -0.25 -0.01 -0.1 -0.22 -0.4 0.06 0.18 0.03 -0.43 -0.06 -0.06 0.33 0.18 0.03 0.01 -0.14 -0.18 -0.69 -0.6 -0.49 -0.49 -0.89 -0.67 -0.58 -0.54 0.38 0.14 0.28 0.53 0.55 0.55 0.16 0.26 0.34 0.54 0.49 -0.94 0.14 -0.03 0.08 -0.54 -1.12 -1 -1.12 -1.6 -1.74 -0.25 -0.38 -1.32 -0.81 -0.29 0.1 0.6 -0.07 -0.45 0.37 2.05 -0.74 -0.89 -0.17 -0.15 -0.25 0.37 -0.27 -0.58 -0.09 0.19 0.55 0.33 0.04 0.1 0.41 nc 2
YOR095C 0.39 -0.49 -0.51 -0.4 -0.09 -0.14 -0.17 0.57 0.21 -0.15 0.28 -0.2 0.03 -0.1 0.14 -0.12 -0.12 -0.15 -1.43 -0.32 0.1 0.48 0.44 0.08 0.19 -0.15 -0.27 -0.09 0.14 -0.36 -0.43 -0.34 0.4 0.4 0.2 0.06 0.08 0.19 0.2 0.06 -0.25 0.07 0.07 -0.71 -0.15 -0.36 -0.45 -0.14 -1.09 -1.79 -1.6 -0.43 -0.25 0.48 -0.03 0.92 -2.84 -3.06 -0.3 -2.25 -2.12 -1.36 -0.94 -0.6 -0.12 -1.06 -1.56 -1.47 -0.17 0.11 -0.29 -0.18 -0.04 -0.06 0.16 -0.81 -0.79 -2.12 -0.2 nc 2
YOR124C -0.04 -0.2 0.34 0.14 0.16 -0.03 -0.07 -0.14 -0.07 -0.18 -0.17 -0.06 -0.12 -0.25 -0.01 -0.23 0.04 -0.01 0.68 -0.07 -0.22 0.07 -0.74 -0.23 -0.4 -0.47 -0.36 -0.36 -0.32 -0.14 -0.27 -0.06 -0.47 -0.56 -0.34 -0.32 -0.18 -0.32 -0.14 -0.56 -0.79 -0.29 -0.27 -0.74 0.36 0.18 0.11 -0.04 -0.22 0.23 0.19 -0.38 -0.4 -0.15 -0.07 -0.89 0.14 0.44 -0.56 0.88 0.59 0.25 0.37 -0.84 -0.32 -0.07 -0.14 -0.1 -0.51 0.21 0.08 0.39 -0.1 0.04 0.11 0.38 0.57 0.65 -0.17 nc 2
YOR128C -0.45 1.59 0.4 -0.47 -0.76 -0.38 -0.01 -0.36 -0.06 -0.1 -0.56 -0.38 -0.58 -0.4 -0.2 -0.06 -0.29 -0.3 0.25 -0.17 -0.07 -0.14 -0.34 -0.34 -0.6 0.03 -0.09 0.18 0.16 0.24 0.56 0.9 -0.14 0.08 -0.45 -0.32 -0.4 -0.14 -0.4 1.71 0.14 -0.51 -0.86 0.16 -0.36 -0.36 -0.22 -0.17 -1.94 -2.12 -2.84 -2.56 -2.84 0.11 -1.06 -0.71 -1.84 -1.69 0.15 0.45 0.78 0.26 -0.3 1.08 -0.25 -1.6 -0.3 -0.3 -0.18 0.63 1.09 -0.2 0.01 0.08 0.97 0.58 0.93 0.01 -0.67 nc 2
YOR151C -0.25 -0.23 -0.47 0.03 -0.17 -0.07 0.04 -0.32 0.07 -0.27 -0.15 -0.01 -0.1 -0.14 0.14 0.14 -0.1 -0.09 -0.32 -0.07 -0.3 -0.18 -0.36 -0.27 -0.04 -0.09 0.21 0.33 0.06 0.15 0.14 -0.25 -0.18 -0.09 -0.12 -0.25 -0.12 -0.1 -0.38 -0.47 -0.18 -0.2 -0.54 0.08 -0.09 -0.32 -0.51 -0.27 -0.58 -0.43 -0.34 -0.01 0.24 -0.34 0.07 0.59 -0.79 -1.36 -0.03 -0.58 -0.22 0.44 -0.1 0.7 -0.23 -0.6 -0.15 -0.36 0.21 -0.29 -0.03 0.25 0.29 0.3 0.37 0.07 -0.15 -0.1 -0.6 nc 2
YOR153W -0.49 -0.86 -1.06 -1.09 -0.71 -0.25 0.1 0.01 0.04 -0.42 -0.49 -0.64 -0.76 -0.56 0.06 0.53 0.1 0.23 0.94 -0.07 -0.32 -0.42 -0.15 -0.34 -0.25 -0.07 0.18 0.43 -0.36 0.14 -0.23 -0.09 -1.6 -2.94 -1.94 -0.23 0.07 -0.17 -1.18 -1.36 -0.51 -0.32 -0.6 -0.71 -1.29 -1.18 -1.12 -0.06 -1.36 -1.79 -1.84 -1.64 -1.64 0.07 -0.14 -0.34 -2.25 -2.74 0.06 1.25 0.54 1.15 1.12 1.2 -1.32 -1.09 0.11 0.24 0.01 -0.89 -0.06 -0.17 0.19 0.1 0.14 -0.36 -0.74 -1.89 -1.94 nc 2
YOR174W 0.12 -0.6 -0.04 -0.4 -0.23 0.04 -0.23 -0.47 0.01 -0.62 -0.06 -0.32 -0.18 -0.34 -0.06 -0.49 -0.1 0.1 0.6 -0.42 -0.23 -0.49 -0.06 -0.74 -0.32 -0.3 -0.47 -0.71 -0.29 -0.69 -0.97 -0.64 0.06 0.34 0.25 -0.27 -0.29 -0.38 0.15 -0.29 -0.47 -0.54 -0.14 -0.25 -0.17 -0.1 -0.43 -0.69 -0.4 -0.29 -0.4 -0.3 -0.43 -0.07 -0.06 -0.74 -0.42 -0.23 -1.22 -0.97 -0.56 0.04 -0.56 0.06 0.01 0.14 -1.03 -0.4 -0.49 0.24 -0.22 -0.76 -0.1 -0.23 -0.14 -0.36 -0.27 -0.36 -0.27 nc 2
YOR188W -0.2 -0.49 -0.54 -0.38 0.04 -0.25 0.28 0.1 -0.23 -0.4 -0.62 -0.22 -0.12 -0.22 -0.03 0.12 -0.12 0.12 -1.06 -1.03 -0.6 0.06 -0.03 0.31 0.08 0.28 0.25 0.3 -0.12 -0.18 -0.27 -0.2 -0.43 -0.4 0.31 0.66 0.21 -0.54 -0.62 -0.36 0.3 0.21 -0.71 -0.71 -0.25 -0.47 -0.36 -0.27 0.44 0.66 1.64 1.65 1.43 -1 0.58 0.26 1.04 0.73 -0.25 -0.86 -0.29 0.76 0.08 0.4 -0.23 -0.54 0.01 -0.34 -0.43 0.46 -0.18 0.45 -0.01 -0.06 0.31 -0.36 -0.64 -0.06 -0.6 nc 2
YOR198C -0.04 0.92 -0.36 0.41 0.06 0.41 0.18 0.37 0.12 0.29 -0.14 0.14 -0.01 -0.07 -0.15 -0.2 0.18 0.11 -0.32 -0.34 -0.79 -0.3 0.2 0.19 0.15 0.12 -0.15 0.16 0.54 0.19 -0.12 -0.14 -0.23 -0.45 -0.34 -0.71 -0.71 -0.86 -0.74 -0.2 -0.45 -0.49 -0.58 -0.34 -0.32 -0.49 -0.34 0.14 -0.71 -0.94 -1.56 -2.12 -2.4 0.41 -0.51 -1.51 -0.15 0.04 0.16 -0.22 -0.17 -0.49 -0.12 0.78 0.65 0.51 1.33 1.34 -0.25 0.28 -0.62 -0.01 0.06 -0.12 0.25 -0.3 -0.3 0.23 -1 nc 2
YOR224C -0.12 -0.42 -1 -0.64 -0.76 -0.42 -0.09 -0.54 -0.06 -0.22 -0.45 -0.67 -0.25 -0.6 -0.2 -0.69 -0.4 -0.3 -0.81 -0.15 0.34 0.16 0.38 0.18 -0.12 0.31 -0.1 0.24 0.04 -0.25 -0.45 0.04 0.28 0.26 -0.09 -0.17 0.08 0.07 -0.01 0.1 -0.25 -0.23 0.03 0.11 -0.42 -0.51 -0.3 -0.47 -0.67 -0.56 -1.43 -1.12 -1.22 -0.47 -1.09 -0.79 -1.79 -1.4 -0.18 -1.4 -1.47 -1.03 -0.47 -0.4 -0.25 -0.69 -0.64 -1.12 -0.42 -0.22 -1.15 -1.22 0.15 -0.18 -0.01 -0.45 -0.56 -1.12 -2.12 nc 2
YOR229W 0.1 -0.34 -0.69 -1.12 -0.64 -0.43 -0.43 -0.27 -0.1 -0.22 -0.1 -0.6 -0.43 -0.69 -0.43 -0.54 -0.12 0.04 0.06 -0.06 -0.03 -0.04 0.14 -0.25 -0.27 -0.06 -0.22 -0.36 -0.1 -0.06 -0.32 -0.22 0.31 -0.15 -1 -0.6 -0.07 0.72 0.53 -0.38 -1.25 -0.15 0.31 0.38 0.38 -0.17 -0.17 -0.36 -0.58 -0.58 -0.4 -0.42 -0.23 0.16 0.07 -0.32 -0.94 -1.09 -0.27 -1.43 -0.4 0.03 -0.38 -0.04 -0.4 -0.67 -0.92 -1.64 -0.27 0.23 -0.89 0.72 -0.34 0.08 0.55 -0.2 -0.1 0.34 0.2 nc 2
YOR230W -0.6 -0.4 -0.36 -0.56 -0.86 -1.29 -1.03 -1.32 -1.18 -0.94 -0.74 -0.67 -0.49 -1 -0.67 -1.06 -0.74 -0.89 0.44 0.39 0.14 -0.2 -0.58 -0.69 -0.79 0.21 0.44 0.08 -0.1 0.7 1.11 0.82 0.41 0.15 -0.06 -0.36 -0.14 0.01 0.7 0.73 0.58 0.33 0.63 0.37 1.21 1.09 1.1 -0.36 0.82 0.59 0.07 -1.03 -0.58 0.53 -0.86 -1.51 0.29 0.18 0.01 1.13 0.59 -0.15 0.34 0.59 -0.17 -1.12 0.24 0.75 -0.29 -0.18 0.1 -0.56 0.12 0.85 1.01 0.65 0.97 1.12 0.92 nc 2
YOR235W -0.14 -0.34 -0.22 -0.86 0.06 -0.18 -0.1 -0.07 -0.22 -0.23 -0.74 -0.84 -0.47 -0.67 -0.58 -0.38 -0.3 0.57 -0.56 -0.86 -0.34 -0.71 -0.67 -0.62 -1.03 -0.76 -0.71 -0.81 -0.69 -1.06 -1.29 -0.54 -0.32 -0.17 -0.25 -0.18 -0.43 -0.62 -0.86 0.37 -0.67 -0.79 -0.45 -0.36 -0.51 -0.89 -0.71 -0.79 0.2 -0.22 -0.23 -0.69 -0.38 0.1 -0.51 -0.92 0.11 0.15 0.31 0.01 0.39 0.44 -0.29 0.32 -0.64 -0.69 -1 -0.89 0.23 0.85 0.72 0.2 -0.43 -0.25 0.08 -0.51 -0.3 -0.22 0.04 nc 2
YOR244W -0.4 -0.62 -0.86 -0.42 -0.51 -0.22 -0.32 -0.43 -0.27 -0.12 -0.47 -0.3 -0.34 -0.54 -0.4 -0.15 -0.34 -0.4 0.45 -0.43 0.06 0.21 0.03 -0.36 -0.2 0.23 -0.45 0.24 -0.29 -0.36 -0.6 -0.07 0.21 0.23 0.42 0.26 0.19 0.03 0.23 0.49 0.49 0.19 0.16 0.52 0.44 0.36 0.77 0.12 -0.1 -0.1 0.06 0.36 0.32 0.21 0.12 0.1 -0.27 0.06 -0.43 -0.3 -0.18 -0.84 -0.38 -0.89 -0.3 0.01 -0.56 -0.34 0.06 0.2 -0.74 -0.27 0.07 -0.15 0.15 0.06 0.04 1.14 0.44 nc 2
YOR250C -0.2 -0.14 -0.23 -0.51 -0.34 -0.4 -0.07 -0.29 -0.3 -0.47 -0.29 -0.47 -0.14 -0.51 -0.1 -0.51 -0.18 0.11 0.15 -0.67 -0.62 -0.45 -0.06 -0.06 -0.49 -0.06 -0.14 -0.17 -0.06 0.03 -0.58 -0.07 -0.89 -0.74 -0.18 -0.29 -0.69 -1.06 -0.49 0.4 0.11 -0.58 -0.86 -1.36 -1.09 -0.54 -0.58 -0.42 -0.22 0.19 1.34 1.22 1.08 -0.17 0.74 0.53 -0.42 0.42 -0.4 0.19 0.56 -0.04 -0.36 -0.23 0.58 0.08 0.55 0.65 -0.45 0.16 -0.43 -0.14 -0.15 0.03 -0.18 -0.38 -0.64 0.5 0.06 nc 2
YOR270C -0.1 -0.54 -0.76 -0.62 -0.45 -0.51 -0.01 -0.27 -0.12 -0.29 -0.27 -0.23 -0.09 -0.71 -0.18 -0.2 -0.58 -0.2 -0.32 -0.09 -0.47 -0.06 -0.12 0.04 0.18 0.2 0.07 0.33 -0.07 0.16 -0.01 0.06 -0.01 0.31 -0.42 -0.42 -0.81 -0.47 -0.22 0.1 -0.54 -0.97 -0.76 0.1 -0.54 -0.51 -0.86 -0.14 -0.36 -0.6 -0.18 -0.01 0.25 0.21 0.08 0.3 -1.03 -1.69 -0.01 -0.27 -0.25 -0.47 -0.07 -0.58 -0.07 -0.92 -0.32 -0.6 -0.12 -0.25 -1.06 -0.69 0.07 0.15 0.4 0.3 0.06 -0.4 -0.92 nc 2
YOR276W -0.17 -0.47 -0.51 -0.36 -0.17 -0.36 -0.03 -0.2 -0.07 -0.36 -0.22 -0.45 -0.01 -0.58 0.01 -0.45 0.11 -0.17 -0.42 -0.56 -0.04 -0.1 0.66 0.59 -0.27 0.15 -0.03 0.06 0.11 -0.06 -0.29 -0.04 0.41 0.21 0.2 0.19 0.18 0.1 -0.32 -0.14 -0.09 0.2 0.1 -0.34 0.04 -0.04 0.04 -0.38 -1.15 -1.06 -1.64 -0.92 -0.58 -0.01 -0.56 0.52 -1.47 -1.4 -0.54 -1.22 -1.69 -1.56 -1.06 -1.12 0.11 -0.04 -0.56 -0.58 -0.64 -0.84 -0.71 -1.06 0.07 -0.12 0.04 -0.4 -0.43 -0.92 -1.6 nc 2
YOR317W -0.23 -0.04 0.3 0.52 -0.15 -0.4 -0.36 -0.56 -0.56 -0.58 -0.38 -0.06 -0.04 -0.51 -0.25 -0.34 -0.38 -0.43 0.07 -0.23 -0.09 -0.03 -0.43 -0.15 0.04 0.06 0.39 0.16 -0.15 0.52 0.45 0.49 0.04 -0.15 -0.18 -0.74 -0.42 -0.32 -0.25 -0.47 -0.04 -0.79 -0.6 -0.58 -0.36 -0.54 -0.49 -0.18 0.6 1.04 0.43 -0.32 -0.36 -0.32 -0.62 -1.4 0.79 1.94 0.25 1.95 1.74 0.36 0.8 1.22 -0.22 -0.64 0.18 0.08 0.14 -0.17 0.56 0.07 0.26 0.52 0.45 0.62 0.79 1.26 1.32 nc 2
YOR319W -0.4 2.53 -0.27 0.66 -0.14 0.07 0.1 0.08 -0.04 -0.4 0.72 -0.3 0.31 -0.32 -0.06 0.18 0.25 -0.43 0.18 -0.25 -0.04 0.24 0.15 0.01 -0.03 -0.3 -0.3 -0.38 -0.01 -0.34 -0.1 -0.2 1.1 1.32 0.79 -0.54 -0.2 0.34 0.16 0.21 0.12 -0.09 0.01 -0.1 0.39 -0.17 0.04 -0.1 -0.07 -0.3 -0.67 -0.38 -0.43 -0.04 -0.49 -0.27 0.01 -0.29 0.01 -0.62 -0.09 -0.97 -0.2 0.03 -0.25 -0.47 -0.04 -0.6 -0.15 0.32 -0.47 -0.71 0.07 0.07 0.3 -0.04 -0.2 0.34 0.04 nc 2
YOR321W -0.49 -0.42 0.06 0.74 0.45 0.29 0.28 -0.27 -0.42 -0.62 -0.22 0.16 0.34 -0.04 0.04 -0.14 -0.23 -0.62 -0.6 -0.2 -0.18 -0.25 -0.14 -0.03 -0.03 0.21 0.14 0.34 -0.01 0.26 0.19 -0.09 0.06 0.44 -0.01 -0.14 0.01 0.21 0.3 0.18 0.12 0.07 -0.12 -0.47 0.29 -0.04 -0.03 -0.22 0.56 0.68 0.31 -0.03 -0.34 -0.22 -0.58 -0.84 1 1.49 0.11 -0.06 -0.17 -0.04 -0.14 0.67 0.28 -0.2 0.83 0.34 0.04 -0.25 -0.34 -0.36 0.08 0.3 0.71 0.04 0.24 -0.36 -0.23 nc 2
YOR335C 0.2 -0.42 -0.45 -0.01 -0.12 -0.07 -0.01 -0.15 0.04 -0.27 -0.1 0.06 0.06 -0.15 0.1 0.21 -0.17 -0.04 -1.22 -0.36 -0.15 -0.06 0.04 0.11 0.2 0.12 0.03 0.44 0.01 -0.14 -0.34 -0.38 -0.3 0.03 -0.18 -0.12 0.36 -0.15 -0.56 -0.09 -0.23 -0.18 -0.25 0.18 -0.6 -0.22 0.14 -0.06 0.77 0.37 0.04 0.19 0.7 0.36 -0.58 -0.17 0.21 -0.81 -0.07 -1.56 -1.79 -0.92 -0.51 0.43 -0.89 -0.74 -0.67 -0.92 0.07 -0.69 -0.14 0.51 0.44 0.46 0.06 -0.69 -0.71 -1.74 -1.6 nc 2
YOR341W 0.46 0.21 0.19 0.42 0.26 0.37 0.16 0.04 0.49 0.03 0.28 0.37 0.2 0.39 0.38 0.33 0.04 0.18 -0.94 -0.36 -0.12 -0.17 -0.15 -0.07 0.08 -0.18 0.11 0.03 -0.2 -0.03 -0.42 0.07 -0.92 -1.09 -0.84 -0.23 0.12 0.08 0.18 0.36 -0.1 -0.03 -0.03 -1 -0.17 -0.22 -0.22 -0.42 -0.81 -0.81 -1.15 -1.09 -0.86 -0.47 -0.56 -0.17 -1.22 -1.32 -0.42 -0.43 -0.97 -0.06 0.04 -0.45 -1.25 -0.86 -0.92 -1.03 0.4 -0.58 0.86 0.39 0.07 0.04 -0.1 -0.49 -0.86 -1.29 -1.12 nc 2
YOR344C 1.24 1.29 0.16 0.15 -0.12 0.31 0.03 -0.04 -0.17 0.19 -0.4 -0.4 -0.01 -0.09 -0.25 -0.56 -0.38 -0.34 1.37 0.55 -0.22 0.31 0.33 -0.18 -0.38 -0.32 -0.74 -0.56 -0.22 -0.4 -0.58 -0.27 -0.47 -0.34 -0.47 -0.04 -0.09 -0.23 -0.25 0.87 1.38 -0.42 -0.23 -0.06 -0.84 0.08 -0.47 0.04 -1.47 -2.47 -3.47 -1.69 -2.56 0.81 -1.29 0.37 -0.92 -4.06 -0.01 -0.03 -0.81 -1.25 -1.47 -0.94 0.23 0.34 0.63 0.5 -0.58 0.31 -0.18 -0.71 0.11 0.15 -0.1 -0.3 -0.23 -0.51 -1.32 nc 2
YOR347C 0.53 0.73 1.12 0.08 0.28 -0.36 -0.17 -0.69 -0.34 -0.36 -0.01 -0.23 -0.2 -0.43 -0.23 -0.34 -0.14 -0.2 0.18 -0.47 -0.69 -0.62 -0.76 -0.76 -0.62 -0.17 0.43 0.07 -0.49 0.56 0.1 0.14 -0.09 -0.09 -0.18 -0.4 -0.89 -0.38 -0.18 -0.23 -0.25 -1.18 -0.56 -0.45 -0.25 0.2 -0.25 -0.27 -1.79 -1.94 -1.6 -1.56 -1.09 -0.12 0.03 0.48 -1.84 -1.89 0.03 1.93 0.63 0.39 0.67 0.61 -0.32 -0.32 0.04 0.45 -0.04 -0.22 -0.92 -0.62 -0.15 0.32 0.55 0.69 0.91 1.39 1.04 nc 2
YOR355W -0.71 -0.92 -0.76 -0.62 -0.62 -0.67 -0.45 -0.64 -0.56 -0.74 -0.36 -0.62 -0.49 -0.89 -0.27 -0.67 -0.2 -0.34 -0.42 -0.23 -0.22 -0.07 -0.27 -0.22 -0.23 -0.42 -0.29 -0.45 -0.27 -0.43 -0.25 -0.62 -0.22 1.43 0.67 0.38 0.14 0.12 1.74 1.56 0.55 0.12 0.01 -0.29 1.21 0.75 0.63 -0.49 -0.94 -0.38 2.41 3.01 3.1 -0.86 2.45 3.34 -1.69 -1.84 -0.22 -0.74 -0.25 -0.94 0.23 -0.69 0.03 -0.89 -0.58 -0.76 -0.27 -0.89 -0.64 -1.64 0.29 0.36 0.24 -0.62 -0.56 -1.36 -1.15 nc 2
YOR358W -0.4 -0.14 -0.23 -0.29 -0.74 -0.4 -0.38 -0.18 -0.32 0.04 -0.64 0.04 -0.17 -0.25 -0.71 -0.32 -0.38 -0.2 0.62 0.19 -0.36 0.01 0.16 -0.01 0.07 0.07 -0.2 -0.06 0.4 -0.01 0.03 0.4 0.45 0.56 0.24 0.15 0.01 0.12 0.04 0.15 0.01 0.16 0.11 -0.03 -0.1 -0.22 -0.15 -0.79 -1.43 -2.32 -1.89 -2.18 -2.12 -0.47 -0.4 -0.34 -0.54 -1.32 0.04 0.33 0.11 0.3 -0.14 0.5 -0.45 0.18 -0.32 -0.18 -0.49 0.2 0.24 -0.18 -1.51 -1.36 -0.32 -0.81 -0.47 0.14 -0.22 nc 2
YOR361C -0.01 -0.6 -0.69 -0.36 -0.12 -0.14 0.03 -0.14 0.04 -0.3 0.04 -0.06 0.08 -0.17 0.04 0.04 -0.1 -0.25 -0.45 -0.51 -0.29 -0.09 0.48 0.12 0.2 0.11 -0.09 -0.23 -0.09 -0.27 -0.47 -0.38 -0.49 -0.12 -0.56 -0.45 -1.18 -1.09 -0.86 1.03 -0.1 -0.89 -0.45 0.23 -0.92 -0.45 -0.76 -0.09 -1 -1 -1.84 -1.09 -0.92 -0.4 -0.86 -0.14 -1.84 -1.84 -0.38 -1.18 -1.12 -0.71 -0.42 -0.34 -0.38 -0.36 -0.74 -0.71 0.03 -0.23 -0.17 0.34 0.37 -0.03 -0.32 -0.89 -0.92 -1.64 -1.74 nc 2
YOR370C -0.47 -0.6 -0.23 -0.23 -0.2 -0.3 -0.09 -0.25 -0.25 -0.3 -0.18 -0.18 -0.15 -0.45 -0.38 -0.27 0.01 0.04 -0.45 -0.3 0.03 -0.23 0.41 0.29 -0.06 0.12 0.18 0.18 0.08 -0.14 -0.12 0.03 -1.43 -1.69 -1.6 -1.06 -0.49 -0.86 -0.36 -0.23 -0.71 -0.42 -0.4 -1.06 -0.49 -0.42 -0.54 -0.23 -0.45 -0.1 -0.69 -0.58 -0.12 -0.54 -0.84 -0.47 -0.92 -0.92 -0.36 -0.64 -0.23 -0.18 -0.18 0.55 0.51 -0.84 -0.18 -0.3 0.86 0.08 -0.03 0.24 -0.03 -0.06 -0.22 -0.29 -0.42 -0.71 -1.43 nc 2
YPL008W 0.77 -0.29 0.03 0.18 -0.14 -0.38 -0.12 -0.38 -0.03 -0.15 -0.07 -0.07 0.11 -0.14 -0.1 -0.29 -0.49 -0.38 -0.69 -0.58 -0.27 -0.1 -0.09 -0.01 -0.06 -0.27 -0.22 -0.14 -0.22 -0.36 -1 -0.23 0.19 0.12 0.26 -0.12 -0.32 -0.51 -0.29 -0.1 -0.1 -0.6 -0.38 -0.43 -0.14 -0.32 -0.51 -0.58 -0.36 -0.15 -0.22 -0.27 -0.01 -0.04 -0.2 -0.51 -0.76 -0.42 -0.09 -0.54 -0.04 0.24 -0.01 0.58 -0.38 -0.34 -0.6 -0.64 -0.04 0.5 0.36 0.24 -0.2 -0.15 -0.2 -0.4 -0.38 -0.58 -0.67 nc 2
YPL011C -0.22 -0.51 -0.25 -0.22 -0.09 0.23 0.06 0.04 -0.25 -0.3 -0.25 -0.3 -0.2 -0.51 -0.2 -0.22 0.1 -0.06 0.31 -0.58 -0.38 0.2 0.04 -0.12 -0.3 -0.25 -0.18 -0.22 -0.2 -0.54 -0.76 -0.62 -0.45 -0.38 -0.1 -0.15 -0.09 0.15 0.2 0.32 0.01 -0.09 -0.15 0.04 0.65 0.44 0.58 -0.36 -0.4 -0.27 -0.79 -0.79 -0.43 -0.09 -0.64 -0.6 -0.36 0.24 -0.06 -0.71 -0.36 -0.09 -0.17 -0.23 0.04 -0.04 -0.56 -0.22 -0.01 0.29 0.29 0.38 0.07 0.24 0.03 -0.74 -0.3 -0.12 -0.09 nc 2
YPL016W 0.15 0.51 0.16 -0.06 -0.27 -0.29 -0.18 0.24 -0.54 0.46 -0.3 0.08 -0.2 -0.3 -0.12 -0.15 -0.71 0.01 -0.56 -0.67 0.23 -0.07 -0.14 -0.45 -0.09 -0.62 -0.62 -0.94 -0.32 -1.51 -1.4 -0.43 0.33 0.48 0.32 0.03 0.16 0.2 0.31 0.19 0.1 0.23 -0.15 -0.22 0.31 0.08 0.1 -0.4 -0.18 0.36 0.34 -0.22 -0.22 -0.42 -0.18 0.46 0.9 1.6 0.74 0.16 0.62 0.56 -0.74 0.62 -1.06 -0.34 -1.79 -0.58 0.51 0.53 1.63 0.68 -0.38 -0.36 -0.17 -0.43 -0.42 -0.43 -0.47 nc 2
YPL028W 0.06 -0.07 0.42 0.21 0.32 -0.01 0.3 0.07 0.1 -0.01 0.07 -0.04 0.24 -0.14 0.3 -0.23 0.19 -0.14 -0.25 0.06 -0.06 0.48 0.34 0.24 -0.2 0.5 0.53 0.23 0.01 0.4 0.31 0.58 0.04 -0.03 0.04 -0.04 -0.06 -0.03 -0.14 -0.42 -0.12 -0.17 -0.34 -0.76 -0.17 -0.3 -0.4 -0.32 0.42 0.11 0.04 -0.54 -0.51 0.46 -0.27 -0.69 0.21 0.64 0.21 0.01 -0.34 -0.17 -0.09 -0.01 0.4 -0.67 0.64 0.78 0.61 0.07 -0.18 -0.22 0.12 0.58 0.71 0.07 0.1 -0.79 -1.03 nc 2
YPL031C -0.42 -0.74 -0.29 -0.64 -0.23 -0.17 -0.14 -0.56 -0.42 -0.42 -0.4 -0.74 -0.43 -0.86 -0.32 -0.51 -0.27 -0.56 0.56 -0.22 -0.18 -0.29 -0.32 -0.42 -0.17 0.03 -0.1 -0.34 -0.49 -0.09 -0.03 -0.12 3.51 2.92 2.98 1.8 2.04 2.36 1.48 1.5 1.57 1.83 1.72 1.26 1.2 1.12 1.25 -0.27 0.82 0.08 -0.32 -0.84 -0.69 0.46 -0.79 -1 0.42 0.1 -0.12 -0.12 0.08 0.19 -0.04 -0.15 0.03 -0.25 -0.09 -0.14 0.08 0.04 -0.18 -0.67 -0.09 -0.2 0.57 -0.09 0.31 0.76 0.74 nc 2
YPL038W -0.14 0.87 -0.47 -0.49 -0.51 -0.06 0.01 -0.1 -0.1 -0.36 -0.56 -0.25 -0.07 -0.47 -0.94 -0.74 -0.15 -0.27 0.12 -0.06 -1.69 0.16 0.21 0.06 -0.07 -0.07 -0.64 -0.4 0.06 -0.34 -0.64 -0.07 -0.17 0.12 -0.32 -0.14 -0.49 -0.15 -0.4 -0.49 0.7 -0.3 -0.1 0.48 -0.32 -0.12 -0.29 -0.51 -0.79 -0.43 -0.12 -0.58 -0.4 -0.67 0.18 -0.03 -0.67 -0.1 -0.17 -0.6 -0.06 -0.62 -1.25 0.44 -0.74 -0.17 -0.49 0.18 -0.27 0.33 0.37 -0.03 -0.18 0.04 -0.01 -0.36 -0.32 0.08 -0.94 nc 2
